
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  UDP    0.0.0.0:5353           *:*                                    13272
  UDP    0.0.0.0:5353           *:*                                    13272
  UDP    0.0.0.0:5355           *:*                                    3152
  UDP    0.0.0.0:51544          *:*                                    14396
  UDP    0.0.0.0:52901          *:*                                    14396
  UDP    0.0.0.0:57163          *:*                                    5448
  UDP    0.0.0.0:57936          *:*                                    14396
  UDP    0.0.0.0:57937          *:*                                    14396
  UDP    0.0.0.0:57938          *:*                                    14396
  UDP    0.0.0.0:57939          *:*                                    14396
  UDP    0.0.0.0:60453          *:*                                    14396
  UDP    0.0.0.0:60454          *:*                                    14396
  UDP    0.0.0.0:62742          *:*                                    2672
  UDP    127.0.0.1:1900         *:*                                    2004
  UDP    127.0.0.1:49668        *:*                                    4628
  UDP    127.0.0.1:51879        *:*                                    2004
  UDP    192.168.1.105:137      *:*                                    4
  UDP    192.168.1.105:138      *:*                                    4
  UDP    192.168.1.105:1900     *:*                                    2004
  UDP    192.168.1.105:2177     *:*                                    16880
  UDP    192.168.1.105:51878    *:*                                    2004
  UDP    [::]:500               *:*                                    4236
  UDP    [::]:3702              *:*                                    2672
  UDP    [::]:3702              *:*                                    2672
  UDP    [::]:4500              *:*                                    4236
  UDP    [::]:5353              *:*                                    13932
  UDP    [::]:5353              *:*                                    12760
  UDP    [::]:5353              *:*                                    13272
  UDP    [::]:5353              *:*                                    16180
  UDP    [::]:5353              *:*                                    14396
  UDP    [::]:5353              *:*                                    3152
  UDP    [::]:5355              *:*                                    3152
  UDP    [::]:51544             *:*                                    14396
  UDP    [::]:52901             *:*                                    14396
  UDP    [::]:57163             *:*                                    5448
  UDP    [::]:57937             *:*                                    14396
  UDP    [::]:57939             *:*                                    14396
  UDP    [::]:60454             *:*                                    14396
  UDP    [::]:62743             *:*                                    2672
  UDP    [::1]:1900             *:*                                    2004
  UDP    [::1]:51877            *:*                                    2004
  UDP    [2405:4802:91cd:9140:98f7:8a62:ce0d:1e00]:2177  *:*                                    16880
  UDP    [2405:4802:91cd:9140:f18c:b555:9082:f7ae]:2177  *:*                                    16880
  UDP    [2405:4802:91cd:9140:ffff:ffff:ffff:ffcf]:2177  *:*                                    16880
  UDP    [fe80::20e:5c9c:ee56:7a4b%10]:1900  *:*                                    2004
  UDP    [fe80::20e:5c9c:ee56:7a4b%10]:2177  *:*                                    16880
  UDP    [fe80::20e:5c9c:ee56:7a4b%10]:51876  *:*                                    2004
